ROCKET,ResNet,Catch22,cBOSS,WEASEL,TSF,BOSS,RISE,S-BOSS,ProximityForest,InceptionTime,TS-CHIEF,STC,HIVE-COTE v1.0
-2336.0,-1407.5,-2290.2681945,-43782.509147000004,-2292023.8185275,-284143.844532,-523757.199764,-286705.979761,-1848175.0835265,-4938356.564236499,-1559679.5,-1.7525504092991002E7,-4592878.7364335,-6574966.05236
-1279.5,-1697.5,-3357.142734,-35946.3758035,-559116.716826,-732188.4217920001,-95019.649582,-484144.18284699996,-581658.9402435,-957836.5550685,-1339954.5,-4246110.679705,-7629000.006353,-1.371850131949E7
-208.5,-1289.5,-487.437473,-3069.7411585,-7471.961076,-18183.439685999998,-6131.882009999999,-20936.3409865,-11952.646682999999,-30362.850176,-217013.5,-147936.8366895,-3743398.5758729996,-3932672.0379335
-356.0,-668.5,-616.555954,-4536.4726145,-21450.617789,-36424.4500635,-15250.556353,-24957.8912365,-31055.808881999998,-96925.1709885,-261474.0,-479899.2309935,-3727122.104692,-3940607.641453
-264.5,-665.0,-475.6974875,-3366.764868,-9415.066883,-12698.9836095,-11159.872741,-20465.648201,-18436.6728965,-49990.252932999996,-229845.0,-188940.5083845,-3720799.2177345,-3854818.4321815
-266.0,-661.0,-441.4521185,-3301.0002235,-9231.547902499999,-12065.6038145,-10508.6646655,-16684.533387,-16901.66125,-47033.63702,-229579.5,-155909.102733,-3713544.292065,-3849879.4892964996
-124.0,-1077.5,-512.6447115,-1520.3163115,-909.9301145,-10907.429593500001,-1624.63582,-10003.084126,-2738.706868,-6238.3271095,-176197.0,-33121.6500495,-183202.38513150002,-318810.0293855
-629.0,-725.0,-940.802267,-11087.640180499999,-59849.26981,-51918.405575,-54752.726653499994,-58497.7158175,-127160.4960335,-321733.0791065,-442257.0,-1106276.7841989999,-4030948.5747885,-4584987.897989
-125.0,-3659.5,-415.306694,-1482.539822,-1126.0585895,-7743.7760215,-1761.343621,-12314.3226895,-3020.8523875,-6230.4934205,-176593.0,-32098.785541,-189546.612004,-313840.231908
-44.0,-2333.0,-281.710024,-202.4970765,-76.9042015,-2319.6697345000002,-233.36089750000002,-4026.2695855,-188.41371500000002,-96.625328,-160292.0,-2285.7932135,-33665.1737375,-77336.09039900001
-1432.5,-4591.5,-3055.1353854999998,-54294.800969,-48054.8277975,-304074.61323250004,-164181.948616,-309177.7348895,-1077484.2776684999,-549608.9949749999,-1523287.5,-2871903.0796530005,-1.0318812629522E7,-1.7603160171595E7
-942.5,-7402.0,-1300.315043,-18636.048471000002,-102207.806416,-67269.12526,-215930.530127,-91148.2589135,-477743.75951849995,-1528600.5646310002,-738715.5,-5769121.792251,-3807241.2754055,-4284074.8613405
-197.0,-916.5,-520.904106,-2660.123993,-3593.0341295,-7546.981388,-5898.611269,-12519.6265055,-11846.723193,-13297.576029,-210145.0,-61634.666827,-3678388.259184,-3791644.620545
-2667.0,-1828.5,-2724.0103280000003,-81733.329423,-1251618.2930685,-276387.957046,-907700.0533169999,-335321.0141725,-3277793.7791655,-3408221.4743195,-2077031.0,-9315019.945466,-6676667.323476501,-1.0673139784952E7
-1947.0,-1902.0,-3759.0322845,-92334.2932905,-580625.6273215,-432219.15457300004,-668345.1520305,-485045.0425565,-1960013.7680895,-1731778.122957,-1780432.5,-8272153.711142,-8347919.928359,-1.4543002506879E7
-1944.0,-1898.0,-3803.511931,-92359.1962455,-598188.518281,-449790.817485,-648904.6093135,-480287.34990749997,-2023131.4744355,-1684109.6277545001,-1771457.0,-8410683.173727,-8181697.087902,-1.4198705060635E7
-1945.5,-1902.0,-3818.5846715,-91888.0810955,-451341.937018,-435259.39335499995,-688020.2121039999,-494961.7308875,-1947509.8489219998,-1692918.1184415,-1768216.0,-8137744.404377,-7603872.22918,-1.3094437774139E7
-81265.0,-34385.0,-62588.497661500005,-1777554.215882,-1502867.112549,-4077265.339945,-4006003.422661,-4141913.4185389997,-1.35294874142075E7,-1645342.7653295,-1.57241955E7,-1.65216927556E7,-1.3039116147760451E8,-2.63611902484603E8
-106.0,-4343.0,-417.3412585,-1676.9572825,-5785.6538655,-10082.998225,-3775.5980685,-10246.837119,-5719.9316015,-11940.662991500001,-190128.5,-55622.203076,-160811.441304,-232767.670997
-737.5,-1439.5,-1591.507431,-24480.3730155,-13819.568936,-81430.076824,-31635.061339,-83688.6388865,-140597.4493035,-62529.165681,-1061293.0,-461429.6911395,-7458537.032242,-1.1275525240355998E7
-1146.0,-2222.0,-2525.04453,-45701.8859355,-10775.327699500001,-160777.27389399998,-67739.66927700001,-155682.566414,-336346.1588175,-137055.19323749997,-1514946.0,-1008224.9635699999,-9673396.6822775,-1.5873222361178E7
-733.0,-1450.0,-1812.970683,-22859.995469,-20064.2543695,-97600.349108,-28518.877202,-90066.88620899999,-136824.628981,-68982.8734985,-1063252.5,-522259.489959,-8164810.8410795,-1.26658036136745E7
-2474.0,-1684.5,-2613.3285960000003,-110626.604563,-233875.13886349997,-222529.52192149998,-1305813.051531,-334989.780748,-4172598.7001285,-2094632.2098615002,-2074716.5,-7853538.660793001,-6231295.829455,-9787317.1454725
-221.0,-659.0,-681.9760595,-4235.7817305,-2430.956833,-17925.665895,-5130.723253,-17842.966669,-10509.431928,-17141.058974,-333442.5,-109703.221853,-453759.3561185,-718938.6464465
-1362.0,-5117.5,-2266.0504315,-58659.6694305,-59618.105915,-110643.6767945,-172827.084714,-176654.3809915,-573861.5837055,-250748.6742905,-1465595.0,-1428407.6963625,-4833272.754907999,-6552249.317994
-119.0,-5098.5,-435.06054300000005,-1144.7129955,-670.3470025,-4813.482577,-1359.5768764999998,-6388.9989635,-2272.141906,-4921.7562785,-172601.0,-14656.6209045,-68505.456664,-129539.12073
-138698.5,-34792.0,-48404.2256645,-1.26031847364895E7,-2.68775009E8,-4854530.7687254995,-2.3490524418876E7,-4978002.3768495,-9.35854694616405E7,-4202613.918994499,-2.2124761E7,-2.85765866592515E7,-8.94688201279915E7,-2.013206246482645E8
-6544.5,-4005.5,-6124.4695195,-254506.884054,-4125285.966334,-837821.792579,-4851765.449801,-1328677.4640285,-1.5410821049471E7,-2.55067915766115E7,-4738314.0,-8.29189333809795E7,-6188016.4905465,-1.301261998536E7
-6562.5,-4005.5,-6110.49845,-260200.7623525,-3594287.6667485,-918824.9667575,-6178132.9439405,-1306858.6830115002,-1.5876176542172E7,-2.4170789123657E7,-4729670.5,-8.7488376325961E7,-6346175.6297995,-1.33996420231395E7
-12467.5,-7337.0,-9579.037829,-480866.042165,-1972469.9799795,-1341949.6104715,-1.2304643506488E7,-1984656.7281335,-4.56553588538415E7,-4.4856140675410494E7,-8810515.0,-1.7465611883893502E8,-8298415.785477,-1.9343661405906998E7
-1449.5,-2295.5,-3988.1733465,-71655.5616165,-158483.345137,-273117.4071195,-223093.9010235,-343365.10763,-837455.2450195,-517928.359927,-1610209.0,-3132571.9160925,-8716106.851156998,-1.46184560200765E7
-152.0,-449.0,-536.9431199999999,-2727.3545965,-6500.3888305,-12636.294844,-7424.208979,-13722.235674,-12379.6918945,-29672.556631,-213415.0,-122602.0717625,-3655207.6723309997,-3756275.2562840004
-495.0,-1598.0,-1612.462458,-15723.355685499999,-44812.283720499996,-112759.47356849999,-31164.2156275,-110651.87449049999,-100781.642435,-153280.647902,-693571.0,-958510.8004855,-5415581.5639155,-7489000.589103499
-2020.5,-903.0,-5887.660324,-91835.4468245,-1246667.255703,-1309725.8739585,-468568.794697,-1038171.4796315001,-1641673.34647,-3303993.709668,-1908140.0,-1.4403718450774E7,-7852935.2462535,-1.63595350632045E7
-1362.5,-698.0,-1686.8635095,-32788.4437235,-231070.24429250002,-165590.950997,-193409.880534,-187334.280304,-597237.3797375,-840808.135411,-1051479.5,-3012567.3001205,-5095136.637792001,-7146469.531324
-38101.5,-17810.0,-23301.974514,-1.2843332875495E7,-1.29508298823475E7,-4651215.681629,-1.4243782192633098E8,-5033647.662537999,-4.43600190696234E8,-5.3999626734638005E7,-2.16427455E7,-1.471652122916675E8,-3.9622343400232E7,-1.029926299831645E8
-792.0,-3640.0,-1071.9033975,-18516.81989,-44669.2912735,-41180.013976999995,-73880.766156,-68122.50004350001,-303091.57588899997,-241013.3413455,-744685.5,-430479.4690135,-4931172.764221501,-6352961.810525499
-202.0,-15688.5,-511.50497,-2610.015147,-4796.469795499999,-9313.218738,-5627.9317345,-11991.808115,-12319.329484,-27999.5653885,-212518.5,-52726.371216,-3669757.1648474997,-3777877.4720835
-162.5,-338.0,-737.1066205,-2755.0348095,-1526.726021,-10883.50816,-3628.7789599999996,-12432.5745535,-7027.5294030000005,-11334.2309795,-203622.5,-51363.3513485,-440383.117248,-617468.6255890001
-412.5,-364.0,-1006.664023,-7992.5995685,-7651.303879,-27876.7378475,-14401.122136,-36615.613536000004,-42536.555372,-39406.2259105,-532474.5,-196542.548549,-4754831.084458,-5922525.684394499
-413.0,-362.0,-867.1971934999999,-7948.1634905,-5554.593397000001,-22178.615227000002,-15157.724943500001,-35190.5684245,-42757.317215999996,-29989.692629,-532938.0,-160828.935616,-4852095.0806370005,-6091947.2841839995
-371.0,-361.0,-943.477401,-8093.991188,-8387.190522,-16700.2864415,-14494.3877555,-30209.860438000003,-43916.271085,-12451.809276,-532979.0,-84803.7037825,-4545106.8772815,-5484190.443032499
-809.0,-343.0,-1211.9119635000002,-19065.1184655,-48846.592447999996,-73412.6357805,-97745.3737635,-80068.594407,-343573.1324535,-485543.36375200003,-653039.0,-1576959.739632,-4587969.654887,-5786422.3244425
-2579.0,-731.5,-2815.4702589999997,-60223.8221395,-310663.477526,-283941.74419,-760183.435455,-346180.881608,-2003671.578572,-4633807.541833,-1862688.0,-1.6214315680103E7,-4847338.8428925,-7327853.994871
-500.5,-319.5,-873.0187015,-10841.142262500001,-25234.269962500002,-45233.767708,-50792.042260999995,-48504.681779000006,-139099.7036925,-319732.24211,-413950.0,-946669.430706,-3922716.4306004997,-4356852.4762955
-1142.0,-563.0,-1385.0865469999999,-22498.0985385,-133148.610228,-80347.424848,-345821.8299275,-84230.70656600001,-669641.051221,-1899021.8154870002,-826516.0,-5832921.0470675,-3785811.404817,-4233778.0543235
-2999.0,-1237.5,-2731.1888945,-56374.7289045,-754952.499831,-327447.876143,-960220.0355915,-348200.4168945,-2620531.9375545,-9556554.507474,-1927161.5,-3.7806852103855E7,-4303435.497636,-6266550.163905
-730.0,-492.0,-929.297134,-12179.8677875,-90099.5267895,-26872.0347405,-65487.681714499995,-45040.97062,-168047.598954,-140855.895123,-468453.5,-664090.7825035,-3892142.9100325,-4304873.7963890005
-198.0,-1498.5,-538.7670385,-2818.17872,-20213.627926,-11347.665712999999,-11285.4915595,-17461.3169265,-18797.202399499998,-36021.608318,-234399.5,-162124.243917,-3662709.7601565,-3750251.8120865
-956.0,-1130.5,-2120.2744365,-31340.0038455,-293934.83634000004,-206192.9135875,-118757.9558575,-187636.624045,-353511.90780499997,-486994.930652,-922063.0,-2262459.222241,-5297051.9574445,-7587015.915261
-87.5,-2418.0,-439.89376000000004,-382.789872,-99.48236,-4211.9917165,-560.160935,-6786.620549,-655.2373645,-468.71470850000003,-287962.5,-10877.680599,-57396.806778,-136088.413858
-4157.0,-1063.0,-3996.40298,-127609.000103,-760259.382314,-501571.9001985,-1482375.2441039998,-555633.969447,-7441427.0928775,-4291637.856574,-3077300.0,-1.37813426677575E7,-7175951.572543,-1.2633603996824E7
-684.5,-306.0,-1156.4341829999998,-12795.4583255,-37663.747480499995,-42672.5033205,-73680.39426100001,-50149.8793055,-188968.8407145,-463838.4552405,-483367.0,-1337970.6449365001,-3909217.629565,-4349916.6761205
-447.0,-286.5,-1016.4805315,-8556.251252,-40348.9658135,-53867.5306765,-27779.9063765,-49210.8475835,-65725.53476,-159363.11092150002,-450524.0,-700730.4965625,-3954222.5696795,-4446680.259096
-1146.0,-3405.0,-1108.044627,-15632.054435,-209192.43787750002,-76372.058063,-132893.02942500002,-94708.641097,-352254.9540585,-909200.0260045,-615577.0,-3078160.518761,-3871918.205359,-4391996.190894
-499.0,-287.0,-805.0339215,-8457.577891500001,-25642.6004245,-28348.225736,-29985.622762500003,-34969.095346999995,-88288.7863815,-115631.574823,-366992.5,-387870.381407,-3935836.2575355,-4349392.694372499
-822.5,-752.0,-2291.915021,-27947.0810275,-39090.415338000006,-186555.868111,-47551.465501,-156169.1346515,-180440.6279215,-151260.95797350002,-996768.5,-974005.7101605,-7069600.0226945,-1.0863022989842E7
-740.0,-591.0,-1646.736787,-22649.761387,-14161.178024,-94679.0468335,-30904.255657,-84257.1695705,-108226.354931,-60994.1088855,-1059514.5,-436409.00950100005,-7428796.6749249995,-1.1194194701161E7
-1156.5,-906.0,-2549.5958535,-44107.633400000006,-9077.213727999999,-153959.12001150002,-62899.699494,-157027.0314115,-308516.274195,-132225.87580749998,-1512658.5,-941296.4391055,-1.01689290035755E7,-1.6775111814185001E7
-761.5,-593.0,-2056.7416190000004,-23548.7164855,-21846.508044000002,-140041.45527500001,-28978.223004500003,-109541.52218649999,-129343.1311035,-80089.77975,-1058949.0,-575550.3430185,-8509172.3548225,-1.34359018863355E7
-7529.5,-3252.0,-5312.4374915,-328289.613796,-1534789.832338,-605412.1611595,-6249557.8832045,-1110088.227683,-1.63736813057785E7,-1.22939606913385E7,-5198586.5,-4.1987125664897E7,-8192471.896823499,-1.58297927858835E7
-1660.0,-2581.5,-1542.2856345,-32601.2907225,-278859.24213699996,-122862.01521700001,-293336.0354665,-165436.0325115,-781370.3739625,-1652346.715611,-1107624.5,-5934940.247380501,-4245842.7038055,-5437807.622497
-71.0,-2719.0,-353.4743205,-781.032457,-215.78137199999998,-4087.032955,-802.655771,-5587.428243,-985.0458739999999,-1231.4668595,-165269.5,-8336.567210500001,-46823.881536,-100884.079415
-429.0,-278.0,-657.7816965,-4897.2429585,-20418.4796285,-20151.990171999998,-18450.023524,-24514.326511500003,-46362.02890600001,-91574.0141275,-289472.5,-325598.9140185,-3697190.1014225,-3863120.9427279998
-1288.5,-476.0,-1920.516474,-43226.989048999996,-263338.4494105,-188768.5273545,-284359.27096,-222412.262682,-875273.8184740001,-979427.610419,-1205243.5,-3599775.9006615,-5465853.4049255,-7984847.69202
-4978.5,-2685.0,-7790.396891,-318812.32675949996,-35798.3617465,-621223.6106215001,-669076.3054175,-646421.887945,-3013877.3576074997,-525315.349522,-4355163.0,-3773617.357453,-2.67317937958995E7,-5.0395365678641E7
-3412.5,-2095.5,-4351.792293500001,-106152.038313,-2794352.629116,-1656697.732914,-1788053.022566,-1121730.737526,-5509793.8818765,-2.2052237360648498E7,-2318951.0,-8.9039134190578E7,-5454639.537386499,-1.2600324478905499E7
-2938.0,-2301.0,-3294.4595885,-63142.5242575,-2229390.9449545,-1715551.9109925,-1029779.675642,-1130195.8999075,-3422972.834727,-3.5205139516902E7,-2006888.0,-1.38268071706159E8,-4699512.5587035,-1.1198750928419001E7
-2945.5,-2300.5,-3349.541547,-60532.0403735,-2426552.1522195004,-1290897.1384784998,-936914.3618705,-1094836.7292769998,-3504983.1846765,-3.2837867619032003E7,-2013809.0,-1.23561184781527E8,-4864984.281632,-1.0654960406081E7
-2949.0,-2299.0,-3541.573225,-68158.938734,-2305265.1108245,-1334387.0947989998,-1231522.1925265,-1068714.7691239999,-3984716.956365,-3.7507005792754E7,-2012691.5,-1.4908696939468E8,-4806632.88892,-1.0707161247893501E7
-298.5,-721.0,-786.2427,-5965.391817,-10266.7432315,-26280.9319435,-10020.7971315,-30248.5165195,-27737.66219,-33376.8430275,-373405.0,-192279.01755599998,-4701327.0957875,-5812749.972513501
-501.0,-811.0,-1147.820251,-13519.428137,-11766.302648,-23239.6658515,-24397.2018215,-51382.384829999995,-79952.00188150001,-62496.072734500005,-565517.0,-344594.19114899996,-5410362.3146835,-7197043.6910689995
-745.0,-1490.5,-1566.313466,-21530.405157499998,-14143.2645085,-87112.26146099999,-28021.514846,-85500.2233095,-100411.545664,-64502.505811,-1061307.0,-433243.5068425,-7562011.0876735,-1.1456894408034E7
-1154.5,-2237.5,-2308.134317,-39131.2050205,-11392.71904,-149433.907657,-58464.5680395,-139098.6131175,-297562.710295,-114399.2472465,-1513966.0,-845541.125443,-1.0313449648598E7,-1.70439438426295E7
-742.0,-1495.5,-1649.126215,-21342.0125305,-22729.094277,-99226.403487,-27261.3357095,-88570.93632800001,-132278.46573300002,-72095.83548050001,-1066328.0,-502093.981157,-7960625.661098501,-1.2287780657901E7
-4158.5,-2733.5,-3905.3925845000003,-177656.2981365,-1025243.0142095,-450428.765399,-2308098.268474,-589115.5729285,-7693732.3245405,-5490084.0076235,-3097988.5,-1.95349732321285E7,-8307770.6261445,-1.47189547642725E7
-1354.5,-1068.0,-1297.299853,-14656.602199,-119522.8036,-68184.184607,-240785.1168435,-64952.887742499996,-374411.4768745,-1653505.3708845,-652249.0,-5262068.277627,-3753879.3856875002,-4073547.604548
-4161.0,-2738.5,-4010.4534065,-151450.427235,-1298982.7448800001,-510623.6545135,-2027842.622374,-615757.0452315,-6955811.743716,-4933354.826845,-3088407.0,-1.6158618214207001E7,-8192706.3581775,-1.4575564853664E7
-6635.0,-4820.5,-6006.8205720000005,-259745.627594,-719712.2683689999,-722837.798102,-6449327.38875,-710029.0416295,-1.70816012721695E7,-2.53083160603775E7,-4561256.5,-8.66241456928685E7,-5532882.912632501,-1.0155313758008E7
-9723.5,-5815.0,-9417.524225500001,-527569.843343,-1564644.8005805,-1159366.1451535001,-1.4645907461593501E7,-1443006.286727,-3.4093256664795E7,-4.667351647187E7,-6879691.0,-1.871417813524985E8,-6787924.031195501,-1.5147833236157998E7
-9735.0,-5814.5,-9468.8641375,-496008.4575965,-1472078.254255,-871878.0673305,-1.4753239867212001E7,-1365994.8158255,-3.33982522904195E7,-4.4730246090223E7,-6879742.0,-1.732689774177785E8,-6391973.499834,-1.35801393963545E7
-263.0,-1512.0,-454.152998,-3151.387632,-8980.40206,-13507.8131855,-10284.172254000001,-13645.130564,-18528.2736515,-91543.7217195,-229655.5,-241314.4320125,-3665782.304581,-3762207.678154
-4672.0,-3547.0,-8570.973040500001,-258429.308421,-7279396.259343499,-2641974.3616824998,-2986774.2280510003,-2600969.1489199996,-7082603.0183735,-1.9741036983274497E7,-3683710.0,-7.636931444093451E7,-1.1526002706221E7,-2.92918076828425E7
-4160.0,-2735.0,-4443.243971,-146757.729498,-4294124.914145,-372867.979949,-1960409.9658300001,-520983.34150850005,-5989170.011994,-4063695.0673235003,-3075943.5,-1.3371976372064E7,-7428218.3160815,-1.26817743746055E7
-150.0,-648.0,-731.0444325,-403.462624,-140.4320835,-9844.8541755,-357.9292865,-9602.564878000001,-714.7063949999999,-936.6226959999999,-415448.0,-21140.748428,-289425.382382,-585494.8245610001
-64.0,-3653.0,-331.507291,-582.403577,-147.0503405,-3973.7687655,-745.274766,-5601.9166595,-555.0766874999999,-1036.1007975,-163398.0,-7175.355329,-37558.1507295,-93201.676302
-70.5,-5670.0,-334.6334605,-585.4443215,-171.1670235,-4924.1749575,-816.1421055000001,-4569.8975064999995,-803.8261315,-1688.996741,-166436.0,-11713.21766,-52409.4315595,-115346.18215899999
-14974.5,-25397.5,-9198.8369205,-800043.07544,-3849520.6677705003,-1131107.3112690002,-1.4791656718634501E7,-1928272.6568895,-4.4360878896381E7,-1.7051374155459E7,-1.03525675E7,-5.7447239527674496E7,-1.2200548957006998E7,-2.62619891602825E7
-2522.5,-1059.0,-2682.9613735000003,-120456.02596599999,-148037.5926505,-198856.857226,-492739.135299,-282616.1657915,-3002706.8442825,-941467.1415865,-2275166.0,-3712944.3633645,-9497359.1092235,-1.59602827693955E7
-1285.5,-2202.5,-2886.8648599999997,-53054.380432000005,-210361.52949400002,-267529.929413,-129325.498532,-280659.14063549996,-493159.505562,-387447.085166,-1411670.5,-2103510.0271075,-9153884.3317745,-1.53286237660135E7
-186.0,-5971.0,-483.14278349999995,-2860.1522665,-14176.4940385,-19671.1127805,-7572.040793,-17021.3589055,-12498.867435,-42535.0312795,-225828.5,-162664.1761665,-3674128.2364600003,-3803547.0876965
-466.0,-1213.0,-1211.2559594999998,-9280.423726500001,-8491.2017555,-40817.281184499996,-12343.296396999998,-65311.128488,-31464.532402,-30126.0689985,-737974.0,-240313.65662800003,-3723002.463711,-6079008.493122499
-194.5,-1164.5,-592.8881425,-3856.556305,-6073.3591325,-18321.0424705,-9215.677262500001,-17312.265724,-17517.283501500002,-57204.0602835,-232154.0,-143277.9086805,-3743235.508827,-3935321.2494375
-267.0,-1125.5,-598.008865,-4059.3687284999996,-12833.185626499999,-17046.864228500002,-11290.248499,-23209.990458,-21704.773605000002,-67059.95397999999,-244080.0,-160138.293557,-3728845.7343005,-3899728.6094465
-496.5,-694.5,-978.032074,-9307.5973865,-26763.7338175,-27855.982415,-32281.859891,-47175.8538825,-88492.4885025,-88813.1155105,-477062.0,-359793.4117315,-4619203.783786001,-5679983.9965565
-85.5,-6491.0,-376.6683805,-728.5149495000001,-215.17258,-5393.4724989999995,-802.655231,-6544.984823999999,-966.755991,-1431.921286,-166088.0,-7144.536463,-52908.5789425,-119945.04037450001
-2806.0,-6321.5,-4741.948362499999,-199572.7712245,-99840.227951,-323665.2794175,-745040.812555,-641084.9024375,-2388604.6788405,-434972.85963099997,-2779240.5,-2397916.8101009997,-1.35835723532115E7,-2.4714389025399998E7
-139.0,-1154.5,-660.238828,-1853.6271415,-1689.292422,-13712.4472525,-2340.9677915,-11838.743846000001,-5198.928016,-11709.426809,-187428.0,-54272.950123500006,-316046.9381125,-460910.27985000005
-12406.5,-13824.0,-10666.5565825,-936397.440062,-6675293.9190275,-1060671.7601359999,-2.24029208386795E7,-2500499.3216895,-4.9196942689679995E7,-2.495931482539E7,-9098740.5,-9.229066208598751E7,-1.37211442007675E7,-3.03850255156255E7
-4734.0,-7064.5,-6745.684556,-362549.6332945,-2762701.657443,-672020.17669,-3203450.8761374997,-1100699.125046,-7754088.092284,-3304599.0555825,-3952204.0,-1.3239323562357001E7,-1.4595069825024001E7,-2.82570669815955E7
-4709.5,-7063.0,-7013.659105,-410480.06778299995,-1.3248594748778999E7,-734651.8746695,-2887209.2253845,-1107369.1643619998,-7700100.324542999,-3515289.5561535,-3959929.5,-1.31428213283235E7,-1.5205636125986502E7,-2.9402874236471E7
-4676.5,-7058.0,-6939.914612500001,-399922.07443599997,-4621151.4066415,-703783.8028770001,-2845498.590129,-1102911.617224,-7677185.5354565,-3400194.1816605004,-3962460.0,-1.2903844975276E7,-1.4967359556695E7,-2.89853637471545E7
-3134.5,-8065.5,-3046.481106,-180885.7143545,-34421.5686075,-143667.019474,-447774.84880649997,-277316.2128045,-3351199.110238,-369686.27387150005,-2972359.0,-2020083.1892295,-1.2157692910626002E7,-2.09212263150225E7
-242.5,-771.0,-701.9886975,-4204.691521,-6585.254625,-24327.963187499998,-7313.2282225,-23602.5561905,-23732.366535499998,-54109.730246499996,-252337.0,-179164.2240845,-3884021.3905045,-4233826.958172999
-1197.5,-1663.0,-3025.3785449999996,-38596.8334435,-269364.8444225,-422109.146538,-167969.682889,-382433.581021,-597845.5686585,-1084066.903681,-1169544.0,-4636159.652193001,-7167310.983028,-1.20026405984995E7
-2537.5,-1370.5,-2463.875208,-68813.338368,-710360.160761,-274677.0800725,-897927.1690575,-296459.26702100004,-2764583.9028695,-4217142.620443501,-1805660.5,-1.51256368768715E7,-5583443.106393499,-8531828.8171815
-2540.0,-1368.5,-2259.3520415,-69620.83878650001,-384626.80822999997,-216363.252916,-894572.767098,-261065.313561,-2716622.7513074996,-4058525.3036905,-1799688.0,-1.19136669455745E7,-6046685.114814,-9209683.7551585
-1993.5,-4945.5,-2321.9081805,-66976.740365,-147812.315099,-192263.591338,-425796.24376800004,-282769.1173325,-1827282.0310089998,-1421696.4986725,-1672960.0,-4810834.517197,-7195117.6765225,-1.13903055087125E7
