dataset_name,metric,best_method
italypowerdemand,TrainTime,TS-CHIEF
italypowerdemand,NLL,Catch22
italypowerdemand,BALACC,Catch22
italypowerdemand,Prec,InceptionTime
italypowerdemand,AUROC,InceptionTime
italypowerdemand,ACC,InceptionTime
italypowerdemand,Recall,HIVE-COTE v1.0
italypowerdemand,F1,ROCKET
italypowerdemand,MCC,ROCKET
adiac,TrainTime,HIVE-COTE v1.0
adiac,NLL,InceptionTime
adiac,BALACC,ResNet
adiac,Prec,Catch22
adiac,AUROC,HIVE-COTE v1.0
adiac,ACC,STC
adiac,Recall,HIVE-COTE v1.0
adiac,F1,ResNet
adiac,MCC,WEASEL
smoothsubspace,TrainTime,InceptionTime
smoothsubspace,NLL,ROCKET
smoothsubspace,BALACC,Catch22
smoothsubspace,Prec,WEASEL
smoothsubspace,AUROC,Catch22
smoothsubspace,ACC,STC
smoothsubspace,Recall,HIVE-COTE v1.0
smoothsubspace,F1,Catch22
smoothsubspace,MCC,Catch22
syntheticcontrol,TrainTime,ProximityForest
syntheticcontrol,NLL,WEASEL
syntheticcontrol,BALACC,ROCKET
syntheticcontrol,Prec,S-BOSS
syntheticcontrol,AUROC,ROCKET
syntheticcontrol,ACC,InceptionTime
syntheticcontrol,Recall,WEASEL
syntheticcontrol,F1,InceptionTime
syntheticcontrol,MCC,HIVE-COTE v1.0
distalphalanxtw,TrainTime,WEASEL
distalphalanxtw,NLL,S-BOSS
distalphalanxtw,BALACC,BOSS
distalphalanxtw,Prec,TS-CHIEF
distalphalanxtw,AUROC,ResNet
distalphalanxtw,ACC,TSF
distalphalanxtw,Recall,ROCKET
distalphalanxtw,F1,BOSS
distalphalanxtw,MCC,Catch22
pigartpressure,TrainTime,ProximityForest
pigartpressure,NLL,TSF
pigartpressure,BALACC,ROCKET
pigartpressure,Prec,BOSS
pigartpressure,AUROC,TSF
pigartpressure,ACC,InceptionTime
pigartpressure,Recall,TSF
pigartpressure,F1,TS-CHIEF
pigartpressure,MCC,HIVE-COTE v1.0
forda,TrainTime,ResNet
forda,NLL,RISE
forda,BALACC,HIVE-COTE v1.0
forda,Prec,ROCKET
forda,AUROC,STC
forda,ACC,Catch22
forda,Recall,HIVE-COTE v1.0
forda,F1,cBOSS
forda,MCC,InceptionTime
osuleaf,TrainTime,S-BOSS
osuleaf,NLL,ProximityForest
osuleaf,BALACC,Catch22
osuleaf,Prec,InceptionTime
osuleaf,AUROC,TS-CHIEF
osuleaf,ACC,Catch22
osuleaf,Recall,ROCKET
osuleaf,F1,Catch22
osuleaf,MCC,Catch22
shapesall,TrainTime,ResNet
shapesall,NLL,ROCKET
shapesall,BALACC,ResNet
shapesall,Prec,InceptionTime
shapesall,AUROC,InceptionTime
shapesall,ACC,STC
shapesall,Recall,InceptionTime
shapesall,F1,ResNet
shapesall,MCC,ResNet
herring,TrainTime,ProximityForest
herring,NLL,Catch22
herring,BALACC,S-BOSS
herring,Prec,RISE
herring,AUROC,cBOSS
herring,ACC,S-BOSS
herring,Recall,cBOSS
herring,F1,S-BOSS
herring,MCC,S-BOSS
haptics,TrainTime,InceptionTime
haptics,NLL,S-BOSS
haptics,BALACC,Catch22
haptics,Prec,Catch22
haptics,AUROC,HIVE-COTE v1.0
haptics,ACC,Catch22
haptics,Recall,S-BOSS
haptics,F1,Catch22
haptics,MCC,Catch22
faceall,TrainTime,HIVE-COTE v1.0
faceall,NLL,Catch22
faceall,BALACC,HIVE-COTE v1.0
faceall,Prec,RISE
faceall,AUROC,TS-CHIEF
faceall,ACC,Catch22
faceall,Recall,BOSS
faceall,F1,Catch22
faceall,MCC,Catch22
motestrain,TrainTime,ResNet
motestrain,NLL,Catch22
motestrain,BALACC,S-BOSS
motestrain,Prec,ProximityForest
motestrain,AUROC,STC
motestrain,ACC,S-BOSS
motestrain,Recall,InceptionTime
motestrain,F1,S-BOSS
motestrain,MCC,TSF
phoneme,TrainTime,WEASEL
phoneme,NLL,ROCKET
phoneme,BALACC,ProximityForest
phoneme,Prec,RISE
phoneme,AUROC,HIVE-COTE v1.0
phoneme,ACC,ResNet
phoneme,Recall,WEASEL
phoneme,F1,STC
phoneme,MCC,STC
earthquakes,TrainTime,InceptionTime
earthquakes,NLL,S-BOSS
earthquakes,BALACC,BOSS
earthquakes,Prec,BOSS
earthquakes,AUROC,ResNet
earthquakes,ACC,Catch22
earthquakes,Recall,STC
earthquakes,F1,STC
earthquakes,MCC,ProximityForest
phalangesoutlinescorrect,TrainTime,ResNet
phalangesoutlinescorrect,NLL,InceptionTime
phalangesoutlinescorrect,BALACC,ProximityForest
phalangesoutlinescorrect,Prec,cBOSS
phalangesoutlinescorrect,AUROC,InceptionTime
phalangesoutlinescorrect,ACC,HIVE-COTE v1.0
phalangesoutlinescorrect,Recall,STC
phalangesoutlinescorrect,F1,ProximityForest
phalangesoutlinescorrect,MCC,TSF
chinatown,TrainTime,ProximityForest
chinatown,NLL,ProximityForest
chinatown,BALACC,TS-CHIEF
chinatown,Prec,Catch22
chinatown,AUROC,HIVE-COTE v1.0
chinatown,ACC,HIVE-COTE v1.0
chinatown,Recall,TSF
chinatown,F1,Catch22
chinatown,MCC,Catch22
wormstwoclass,TrainTime,HIVE-COTE v1.0
wormstwoclass,NLL,Catch22
wormstwoclass,BALACC,HIVE-COTE v1.0
wormstwoclass,Prec,cBOSS
wormstwoclass,AUROC,TS-CHIEF
wormstwoclass,ACC,HIVE-COTE v1.0
wormstwoclass,Recall,InceptionTime
wormstwoclass,F1,ROCKET
wormstwoclass,MCC,BOSS
lightning2,TrainTime,ROCKET
lightning2,NLL,ROCKET
lightning2,BALACC,ROCKET
lightning2,Prec,ProximityForest
lightning2,AUROC,ROCKET
lightning2,ACC,InceptionTime
lightning2,Recall,WEASEL
lightning2,F1,cBOSS
lightning2,MCC,cBOSS
ecg5000,TrainTime,HIVE-COTE v1.0
ecg5000,NLL,InceptionTime
ecg5000,BALACC,ROCKET
ecg5000,Prec,RISE
ecg5000,AUROC,TS-CHIEF
ecg5000,ACC,STC
ecg5000,Recall,Catch22
ecg5000,F1,WEASEL
ecg5000,MCC,S-BOSS
powercons,TrainTime,S-BOSS
powercons,NLL,InceptionTime
powercons,BALACC,ResNet
powercons,Prec,ROCKET
powercons,AUROC,cBOSS
powercons,ACC,ROCKET
powercons,Recall,cBOSS
powercons,F1,ResNet
powercons,MCC,ROCKET
ecgfivedays,TrainTime,WEASEL
ecgfivedays,NLL,Catch22
ecgfivedays,BALACC,ProximityForest
ecgfivedays,Prec,cBOSS
ecgfivedays,AUROC,TS-CHIEF
ecgfivedays,ACC,ProximityForest
ecgfivedays,Recall,WEASEL
ecgfivedays,F1,ProximityForest
ecgfivedays,MCC,STC
facefour,TrainTime,ResNet
facefour,NLL,ProximityForest
facefour,BALACC,TSF
facefour,Prec,ROCKET
facefour,AUROC,InceptionTime
facefour,ACC,RISE
facefour,Recall,STC
facefour,F1,TSF
facefour,MCC,Catch22
trace,TrainTime,ROCKET
trace,NLL,HIVE-COTE v1.0
trace,BALACC,TS-CHIEF
trace,Prec,TS-CHIEF
trace,AUROC,TS-CHIEF
trace,ACC,TS-CHIEF
trace,Recall,TS-CHIEF
trace,F1,HIVE-COTE v1.0
trace,MCC,TS-CHIEF
computers,TrainTime,ResNet
computers,NLL,Catch22
computers,BALACC,RISE
computers,Prec,BOSS
computers,AUROC,Catch22
computers,ACC,RISE
computers,Recall,WEASEL
computers,F1,RISE
computers,MCC,WEASEL
ham,TrainTime,HIVE-COTE v1.0
ham,NLL,Catch22
ham,BALACC,TS-CHIEF
ham,Prec,ProximityForest
ham,AUROC,TS-CHIEF
ham,ACC,S-BOSS
ham,Recall,STC
ham,F1,ProximityForest
ham,MCC,S-BOSS
ethanollevel,TrainTime,TS-CHIEF
ethanollevel,NLL,RISE
ethanollevel,BALACC,WEASEL
ethanollevel,Prec,S-BOSS
ethanollevel,AUROC,RISE
ethanollevel,ACC,RISE
ethanollevel,Recall,S-BOSS
ethanollevel,F1,TSF
ethanollevel,MCC,RISE
uwavegesturelibraryx,TrainTime,InceptionTime
uwavegesturelibraryx,NLL,TSF
uwavegesturelibraryx,BALACC,TSF
uwavegesturelibraryx,Prec,RISE
uwavegesturelibraryx,AUROC,RISE
uwavegesturelibraryx,ACC,ResNet
uwavegesturelibraryx,Recall,ResNet
uwavegesturelibraryx,F1,TSF
uwavegesturelibraryx,MCC,RISE
semghandmovementch2,TrainTime,ROCKET
semghandmovementch2,NLL,ProximityForest
semghandmovementch2,BALACC,ResNet
semghandmovementch2,Prec,ROCKET
semghandmovementch2,AUROC,InceptionTime
semghandmovementch2,ACC,TS-CHIEF
semghandmovementch2,Recall,InceptionTime
semghandmovementch2,F1,ResNet
semghandmovementch2,MCC,RISE
largekitchenappliances,TrainTime,ProximityForest
largekitchenappliances,NLL,TS-CHIEF
largekitchenappliances,BALACC,cBOSS
largekitchenappliances,Prec,RISE
largekitchenappliances,AUROC,BOSS
largekitchenappliances,ACC,BOSS
largekitchenappliances,Recall,BOSS
largekitchenappliances,F1,ProximityForest
largekitchenappliances,MCC,cBOSS
wordsynonyms,TrainTime,STC
wordsynonyms,NLL,TS-CHIEF
wordsynonyms,BALACC,ProximityForest
wordsynonyms,Prec,ProximityForest
wordsynonyms,AUROC,TS-CHIEF
wordsynonyms,ACC,cBOSS
wordsynonyms,Recall,TSF
wordsynonyms,F1,TS-CHIEF
wordsynonyms,MCC,InceptionTime
middlephalanxtw,TrainTime,STC
middlephalanxtw,NLL,TSF
middlephalanxtw,BALACC,RISE
middlephalanxtw,Prec,HIVE-COTE v1.0
middlephalanxtw,AUROC,S-BOSS
middlephalanxtw,ACC,RISE
middlephalanxtw,Recall,InceptionTime
middlephalanxtw,F1,BOSS
middlephalanxtw,MCC,BOSS
wine,TrainTime,HIVE-COTE v1.0
wine,NLL,Catch22
wine,BALACC,Catch22
wine,Prec,InceptionTime
wine,AUROC,Catch22
wine,ACC,Catch22
wine,Recall,Catch22
wine,F1,Catch22
wine,MCC,Catch22
uwavegesturelibraryz,TrainTime,ROCKET
uwavegesturelibraryz,NLL,ROCKET
uwavegesturelibraryz,BALACC,ROCKET
uwavegesturelibraryz,Prec,RISE
uwavegesturelibraryz,AUROC,RISE
uwavegesturelibraryz,ACC,STC
uwavegesturelibraryz,Recall,HIVE-COTE v1.0
uwavegesturelibraryz,F1,HIVE-COTE v1.0
uwavegesturelibraryz,MCC,InceptionTime
eogverticalsignal,TrainTime,HIVE-COTE v1.0
eogverticalsignal,NLL,RISE
eogverticalsignal,BALACC,HIVE-COTE v1.0
eogverticalsignal,Prec,RISE
eogverticalsignal,AUROC,TS-CHIEF
eogverticalsignal,ACC,S-BOSS
eogverticalsignal,Recall,InceptionTime
eogverticalsignal,F1,cBOSS
eogverticalsignal,MCC,cBOSS
car,TrainTime,ResNet
car,NLL,InceptionTime
car,BALACC,InceptionTime
car,Prec,cBOSS
car,AUROC,ProximityForest
car,ACC,ROCKET
car,Recall,InceptionTime
car,F1,HIVE-COTE v1.0
car,MCC,HIVE-COTE v1.0
lightning7,TrainTime,WEASEL
lightning7,NLL,HIVE-COTE v1.0
lightning7,BALACC,STC
lightning7,Prec,ROCKET
lightning7,AUROC,TSF
lightning7,ACC,InceptionTime
lightning7,Recall,WEASEL
lightning7,F1,ROCKET
lightning7,MCC,InceptionTime
mallat,TrainTime,WEASEL
mallat,NLL,TSF
mallat,BALACC,HIVE-COTE v1.0
mallat,Prec,Catch22
mallat,AUROC,TS-CHIEF
mallat,ACC,S-BOSS
mallat,Recall,cBOSS
mallat,F1,HIVE-COTE v1.0
mallat,MCC,HIVE-COTE v1.0
eoghorizontalsignal,TrainTime,STC
eoghorizontalsignal,NLL,WEASEL
eoghorizontalsignal,BALACC,BOSS
eoghorizontalsignal,Prec,WEASEL
eoghorizontalsignal,AUROC,TS-CHIEF
eoghorizontalsignal,ACC,HIVE-COTE v1.0
eoghorizontalsignal,Recall,ResNet
eoghorizontalsignal,F1,cBOSS
eoghorizontalsignal,MCC,HIVE-COTE v1.0
fish,TrainTime,ResNet
fish,NLL,RISE
fish,BALACC,RISE
fish,Prec,Catch22
fish,AUROC,TS-CHIEF
fish,ACC,Catch22
fish,Recall,InceptionTime
fish,F1,RISE
fish,MCC,TS-CHIEF
smallkitchenappliances,TrainTime,WEASEL
smallkitchenappliances,NLL,TSF
smallkitchenappliances,BALACC,STC
smallkitchenappliances,Prec,ROCKET
smallkitchenappliances,AUROC,ROCKET
smallkitchenappliances,ACC,S-BOSS
smallkitchenappliances,Recall,ResNet
smallkitchenappliances,F1,cBOSS
smallkitchenappliances,MCC,cBOSS
wafer,TrainTime,TS-CHIEF
wafer,NLL,Catch22
wafer,BALACC,RISE
wafer,Prec,TSF
wafer,AUROC,STC
wafer,ACC,ROCKET
wafer,Recall,STC
wafer,F1,RISE
wafer,MCC,ROCKET
distalphalanxoutlineagegroup,TrainTime,ProximityForest
distalphalanxoutlineagegroup,NLL,HIVE-COTE v1.0
distalphalanxoutlineagegroup,BALACC,Catch22
distalphalanxoutlineagegroup,Prec,RISE
distalphalanxoutlineagegroup,AUROC,ProximityForest
distalphalanxoutlineagegroup,ACC,Catch22
distalphalanxoutlineagegroup,Recall,BOSS
distalphalanxoutlineagegroup,F1,STC
distalphalanxoutlineagegroup,MCC,STC
acsf1,TrainTime,STC
acsf1,NLL,ProximityForest
acsf1,BALACC,HIVE-COTE v1.0
acsf1,Prec,ProximityForest
acsf1,AUROC,TS-CHIEF
acsf1,ACC,ROCKET
acsf1,Recall,ROCKET
acsf1,F1,ROCKET
acsf1,MCC,S-BOSS
cincecgtorso,TrainTime,ResNet
cincecgtorso,NLL,InceptionTime
cincecgtorso,BALACC,S-BOSS
cincecgtorso,Prec,TS-CHIEF
cincecgtorso,AUROC,TS-CHIEF
cincecgtorso,ACC,TS-CHIEF
cincecgtorso,Recall,ROCKET
cincecgtorso,F1,S-BOSS
cincecgtorso,MCC,S-BOSS
meat,TrainTime,STC
meat,NLL,RISE
meat,BALACC,TS-CHIEF
meat,Prec,BOSS
meat,AUROC,HIVE-COTE v1.0
meat,ACC,TS-CHIEF
meat,Recall,InceptionTime
meat,F1,TS-CHIEF
meat,MCC,InceptionTime
worms,TrainTime,ROCKET
worms,NLL,InceptionTime
worms,BALACC,WEASEL
worms,Prec,ProximityForest
worms,AUROC,Catch22
worms,ACC,InceptionTime
worms,Recall,Catch22
worms,F1,WEASEL
worms,MCC,WEASEL
uwavegesturelibraryall,TrainTime,ResNet
uwavegesturelibraryall,NLL,RISE
uwavegesturelibraryall,BALACC,Catch22
uwavegesturelibraryall,Prec,cBOSS
uwavegesturelibraryall,AUROC,TS-CHIEF
uwavegesturelibraryall,ACC,Catch22
uwavegesturelibraryall,Recall,STC
uwavegesturelibraryall,F1,STC
uwavegesturelibraryall,MCC,Catch22
yoga,TrainTime,HIVE-COTE v1.0
yoga,NLL,Catch22
yoga,BALACC,HIVE-COTE v1.0
yoga,Prec,InceptionTime
yoga,AUROC,ROCKET
yoga,ACC,S-BOSS
yoga,Recall,HIVE-COTE v1.0
yoga,F1,InceptionTime
yoga,MCC,S-BOSS
refrigerationdevices,TrainTime,ROCKET
refrigerationdevices,NLL,RISE
refrigerationdevices,BALACC,cBOSS
refrigerationdevices,Prec,STC
refrigerationdevices,AUROC,TS-CHIEF
refrigerationdevices,ACC,S-BOSS
refrigerationdevices,Recall,cBOSS
refrigerationdevices,F1,cBOSS
refrigerationdevices,MCC,cBOSS
screentype,TrainTime,InceptionTime
screentype,NLL,ProximityForest
screentype,BALACC,TSF
screentype,Prec,InceptionTime
screentype,AUROC,InceptionTime
screentype,ACC,STC
